iter	Passed	Remaining
979	7007	143
980	7013	135
981	7021	128
982	7027	121
983	7035	114
984	7042	107
985	7049	100
986	7056	92
987	7062	85
988	7070	78
989	7076	71
990	7083	64
991	7089	57
992	7096	50
993	7103	42
994	7111	35
995	7118	28
996	7125	21
997	7133	14
998	7140	7
999	7147	0
